annual_income,current_balance,credit_limit,utilization_ratio,late_payments_24m,age,tenure_years,customer_segment,region,risk_label
74934,1649.64,4546,0.363,0,35,4.1,student,west,good
62235,2710.96,7875,0.344,0,21,2.3,salaried,northeast,good
77954,1415.16,8072,0.175,0,44,5.4,retired,south,good
95461,2384.08,9891,0.241,0,32,4.1,retired,midwest,good
60317,0.0,2533,0.0,1,30,1.1,salaried,northeast,good
60317,3426.59,10370,0.33,0,66,3.6,salaried,midwest,good
96584,3002.41,1000,1.0,0,62,3.0,salaried,northeast,bad
80349,1365.82,5480,0.249,0,62,1.4,self-employed,midwest,good
55611,4318.49,6047,0.714,2,72,2.3,retired,northeast,bad
75851,4875.14,10533,0.463,2,51,3.5,salaried,south,bad
55732,0.0,8091,0.0,1,31,2.4,self-employed,west,good
55685,1474.55,2378,0.62,2,74,5.7,self-employed,south,bad
69839,1461.72,4060,0.36,2,36,3.0,salaried,west,good
26734,1120.19,8795,0.127,1,29,2.2,self-employed,midwest,good
30502,4658.95,7684,0.606,2,67,3.6,salaried,west,bad
53754,2612.35,5684,0.46,0,34,3.9,salaried,west,good
44743,2470.97,6077,0.407,1,39,5.4,salaried,west,good
71285,0.0,10785,0.0,0,51,3.3,self-employed,south,good
46840,4270.84,5929,0.72,1,29,3.8,salaried,midwest,bad
36754,521.48,7648,0.068,0,56,2.6,salaried,south,good
94313,3119.87,16680,0.187,0,73,7.4,self-employed,west,good
60484,3554.75,2305,1.0,0,59,4.0,salaried,south,bad
66351,5721.32,1000,1.0,1,74,3.5,retired,south,bad
36505,382.36,11134,0.034,0,46,2.4,salaried,midwest,good
54112,0.0,5285,0.0,0,28,5.8,salaried,northeast,good
67218,3367.7,6727,0.501,1,44,1.0,salaried,south,good
41980,6601.02,4875,1.0,0,28,3.6,retired,south,bad
72514,5477.89,6961,0.787,0,39,2.2,student,midwest,bad
52987,3419.32,14394,0.238,3,67,5.1,salaried,west,good
59166,2016.73,11209,0.18,1,68,3.9,self-employed,northeast,good
52966,4614.25,11449,0.403,1,50,3.6,salaried,northeast,good
102046,1052.91,2335,0.451,2,42,1.7,retired,west,bad
64730,3952.72,3395,1.0,0,29,3.1,self-employed,midwest,bad
43846,4010.94,1000,1.0,0,64,4.0,salaried,south,bad
81451,5120.42,4762,1.0,1,68,5.4,student,south,bad
40583,8519.32,11827,0.72,1,24,4.3,salaried,northeast,bad
69177,3784.83,10068,0.376,1,57,5.1,salaried,west,good
25807,1982.07,7114,0.279,2,28,1.3,self-employed,midwest,bad
38436,2948.85,7911,0.373,1,21,3.5,retired,west,good
68937,0.0,5244,0.0,1,48,5.5,student,midwest,good
79769,1610.57,8819,0.183,0,26,0.6,salaried,west,good
68427,2181.44,11064,0.197,2,67,2.8,salaried,northeast,good
62687,1951.82,1536,1.0,1,56,4.0,student,south,bad
58978,3304.71,9199,0.359,2,73,5.9,salaried,northeast,good
35430,1355.16,11730,0.116,0,31,3.4,salaried,west,good
50603,5242.06,6340,0.827,1,25,3.2,salaried,west,bad
55787,3000.41,10803,0.278,1,70,3.8,salaried,midwest,good
86142,2981.4,19259,0.155,2,44,4.0,self-employed,midwest,good
71872,2344.21,7583,0.309,0,67,1.9,student,northeast,good
29739,3310.38,9573,0.346,1,38,2.4,self-employed,midwest,good
71482,4650.2,5048,0.921,0,40,0.9,salaried,west,bad
57298,1265.74,8725,0.145,3,48,2.2,self-employed,west,good
